Appendix,Scientific_Name
APPENDIX II,"Dicksonia spp.
(Only the populations of the Americas; no other population is
included in the Appendices)"
APPENDIX II,Dioscorea deltoidea
APPENDIX II,Dioscorea deltoidea var. deltoidea  
APPENDIX II,Dioscorea deltoidea var. orbiculata
APPENDIX II,Dioscorea nepalensis
APPENDIX II,Tamus nepalensis
APPENDIX II,Dionaea muscipula
APPENDIX II,Dionaea corymbos
APPENDIX II,Dionaea sensitiva
APPENDIX II,Dionaea sessiliflora
APPENDIX II,Dionaea uniflora
APPENDIX II,Drosera sessiliflora
APPENDIX II,Drosera uniflora
APPENDIX II,Diospyros spp
APPENDIX II,Fouquieria columnaris
APPENDIX II,Fouquieria gigantea
APPENDIX II,Idria columnaria
APPENDIX II,Oreomunnea pterocarpa
APPENDIX II,Engelhardia nicaraguensis
APPENDIX II,Engelhardia nicaraguensis
APPENDIX II,Engelhardia oreomunnea
APPENDIX II,Engelhardia pterocarpa
APPENDIX II,Oreamunoa pterocarpa
APPENDIX II,Aniba rosaeodora
APPENDIX II,Aniba duckei
APPENDIX II,Aniba rosaeodora var. amazonica
APPENDIX II,Dalbergia spp. (Except for the species listed in Appendix I and Dalbergia · sissoo and Dalbergia latifolia)
APPENDIX II, Guibourtia demeusei  
APPENDIX II,Copaifera demeusei
APPENDIX II,Copaifera laurentii
APPENDIX II,Guibourtia pellegriniana 
APPENDIX II,Guibourtia tessmannii 
APPENDIX II,Paubrasilia echinata 
APPENDIX II,Caesalpinia echinata
APPENDIX II,Caesalpinia obliqua
APPENDIX II,Guilandina echinata
APPENDIX II,Pericopsis elata
APPENDIX II, Afrormosia elata 
APPENDIX II, Platymiscium parviflorum
APPENDIX II,Platymiscium pleiostachyum
APPENDIX II, Pterocarpus erinaceus 
APPENDIX II,Drepanocarpus senegalensis
APPENDIX II,Echinodiscus erinaceus
APPENDIX II,Lingoum erinaceum
APPENDIX II,Pterocarpus adansonii
APPENDIX II,Pterocarpus africanus
APPENDIX II,Pterocarpus senegalensis
APPENDIX II,Pterocarpus santalinus 
APPENDIX II, Lingoum santalinum
APPENDIX II,Pterocarpus tinctorius 
APPENDIX II,Lingoum tinctorium
APPENDIX II,Pterocarpus holtzii
